route_id,from_city,to_city,mode,train_type,station_from,station_to,duration_min,price_min,price_max,frequency,access_min,egress_min,buffer_min,total_min,transfer_note,book_channel,book_tip,src_confidence,verified,source_url,last_check_date,note
R021,上海,重庆,飞机,—,虹桥或浦东,江北,165,650,2100,密集,75,80,110,430,直达,航司官网,—,mid,0,,,
R022,西安,韩城,高铁,G,西安北,韩城西,80,55,90,较多,40,40,30,190,到站后需打车约 30 分钟到党家村,12306,当天买得到,mid,0,,,
R023,南京,上海,高铁,G,南京南,上海虹桥,85,135,220,密集,35,40,30,190,直达,12306,—,high,0,,,
R024,南京,苏州,高铁,G,南京南,苏州,45,60,100,密集,35,30,30,140,直达,12306,—,high,0,,,
R025,南京,无锡,高铁,G,南京南,无锡,38,50,85,密集,35,25,30,128,直达,12306,—,mid,0,,,
R026,南京,杭州,高铁,G,南京南,杭州东,70,120,200,密集,35,35,30,170,直达,12306,宁杭高铁班次多,high,0,,,
R027,南京,扬州,高铁,G,南京南,扬州,60,40,70,较多,35,25,30,150,直达,12306,也可坐大巴约1.5小时,mid,0,,,
R028,南京,绍兴,高铁,G,南京南,绍兴北,95,150,240,较多,35,25,30,185,直达,12306,—,mid,0,,,
R029,南京,黄山,高铁,G,南京南,黄山北,150,150,250,较多,35,40,30,255,直达,12306,秋季与国庆紧张,mid,0,,,
R030,南京,北京,高铁,G,南京南,北京南,225,445,1400,密集,35,40,30,330,直达,12306,节前提前10天,high,0,,,
R031,南京,长沙,高铁,G,南京南,长沙南,220,430,700,较多,35,35,30,320,直达,12306,—,mid,0,,,
R032,南京,西安,高铁,G,南京南,西安北,370,620,1000,较多,35,40,30,475,直达,12306,—,mid,0,,,
R033,南京,青岛,高铁,G,南京南,青岛,285,400,650,较多,35,35,30,385,直达,12306,—,mid,0,,,
R034,南京,厦门,飞机,—,禄口,高崎,110,600,1700,较多,80,55,110,355,直达,航司官网,高铁约6小时可比,mid,0,,,
R035,南京,成都,飞机,—,禄口,天府或双流,155,700,2100,密集,80,80,110,425,直达,航司官网,高铁约11小时不推荐,mid,0,,,
R036,南京,乌鲁木齐,飞机,—,禄口,地窝堡,275,1100,3000,每日数班,80,70,110,535,直达,航司官网,进疆机票旺季翻倍越早越好,mid,0,,,
R037,南京,舟山嵊泗,大巴,—,南京汽车站,沈家湾码头,300,150,250,每日少量,35,60,20,415,需到沈家湾或南浦码头换船；船班受天气影响,汽车站或线上,建议先到上海再走船班更多,low,0,,,换乘复杂建议经上海中转
R038,北京,天津,高铁,C,北京南,天津,33,55,95,密集,40,30,30,133,直达,12306,城际班次极密,high,0,,,
R039,北京,承德,高铁,G,北京朝阳或北京南,承德,60,110,180,较多,40,25,30,155,直达,12306,京哈高铁；当天可往返,mid,0,,,
R040,北京,北戴河,高铁,G,北京南,北戴河,135,170,280,较多,40,25,30,230,直达,12306,暑期周末紧张,mid,0,,,
R041,北京,大同云冈,高铁,G,北京北或清河,大同南,110,190,310,较多,40,30,30,210,直达,12306,大张高铁,mid,0,,,
R042,北京,平遥古城,高铁,G,北京西,平遥古城,200,280,450,较少,40,20,30,290,部分车次需太原换乘,12306,直达车次不多要先查,mid,0,,,
R043,北京,太原,高铁,G,北京西,太原南,165,240,390,较多,40,30,30,265,直达,12306,—,mid,0,,,
R044,北京,石家庄,高铁,G,北京西,石家庄,80,130,210,密集,40,30,30,180,直达,12306,去正定古城在石家庄换公交或打车,high,0,,,
R045,北京,正定古城,高铁,G,北京西,正定机场或石家庄,85,130,210,密集,40,35,30,190,石家庄站下车后需打车约30分钟,12306,—,mid,0,,,
R046,北京,济南,高铁,G,北京南,济南西,105,185,300,密集,40,30,30,205,直达,12306,—,high,0,,,
R047,北京,泰山,高铁,G,北京南,泰安,125,185,300,较多,40,25,30,220,直达,12306,夜爬看日出需当天下午到,mid,0,,,
R048,北京,青岛,高铁,G,北京南,青岛,210,315,510,较多,40,35,30,315,直达,12306,—,mid,0,,,
R049,北京,上海,高铁,G,北京南,上海虹桥,300,553,1750,密集,40,40,30,410,直达,12306,节前热门提前10天,high,0,,,
R050,北京,南京,高铁,G,北京南,南京南,225,445,1400,密集,40,35,30,330,直达,12306,—,high,0,,,
R051,北京,洛阳,高铁,G,北京西,洛阳龙门,250,340,550,较多,40,30,30,350,直达,12306,—,mid,0,,,
R052,北京,开封,高铁,G,北京西,开封北,230,320,520,较少,40,25,30,325,部分车次需郑州换乘,12306,—,mid,0,,,
R053,北京,邯郸,高铁,G,北京西,邯郸东,145,230,370,密集,40,20,30,235,直达,12306,—,mid,0,,,
R054,北京,呼伦贝尔,飞机,—,首都或大兴,海拉尔,155,900,2600,每日数班,85,40,110,390,直达,航司官网,草原绿期只有7-8月机票最贵,mid,0,,,
R055,北京,哈尔滨,高铁,G,北京朝阳,哈尔滨西,300,540,880,较多,40,35,30,405,直达,12306,冰雪季元旦春节极紧,mid,0,,,
R056,北京,哈尔滨,飞机,—,首都或大兴,太平,135,600,2000,密集,85,75,110,405,直达,航司官网,—,mid,0,,,
R057,北京,成都,飞机,—,首都或大兴,天府或双流,180,700,2300,密集,85,80,110,455,直达,航司官网,高铁约7小时也可选,mid,0,,,
R058,北京,乌鲁木齐,飞机,—,首都或大兴,地窝堡,240,1000,3000,密集,85,70,110,505,直达,航司官网,—,mid,0,,,
R059,北京,拉萨,飞机,—,首都或大兴,贡嘎,280,1400,3500,每日数班,85,80,110,555,直达,航司官网,直飞落地海拔跳升大建议先到西宁或成都过渡,mid,0,,,
R060,北京,三亚,飞机,—,首都或大兴,凤凰,240,800,3500,密集,85,60,110,495,直达,航司官网,春节价格翻数倍,mid,0,,,
R061,北京,古北水镇司马台,大巴,—,东直门,古北水镇,120,50,90,每日数班,30,10,20,180,无轨道交通；也可自驾约2小时,汽车站或线上,旺季班车需提前买,mid,0,,,
R062,邯郸,安阳殷墟,高铁,G,邯郸东,安阳东,22,30,50,密集,20,25,30,97,直达,12306,半小时可达；当天往返毫无压力,high,0,,,
R063,邯郸,石家庄,高铁,G,邯郸东,石家庄,60,80,130,密集,20,30,30,140,直达,12306,—,high,0,,,
R064,邯郸,正定古城,高铁,G,邯郸东,石家庄,60,80,130,密集,20,40,30,150,石家庄站下车后打车约30分钟到正定,12306,隆兴寺免费无需预约,mid,0,,,
R065,邯郸,郑州,高铁,G,邯郸东,郑州东,65,110,180,密集,20,35,30,150,直达,12306,—,high,0,,,
R066,邯郸,开封,高铁,G,邯郸东,开封北,90,130,210,较少,20,25,30,165,部分车次需郑州东换乘,12306,—,mid,0,,,
R067,邯郸,洛阳,高铁,G,邯郸东,洛阳龙门,120,170,280,较多,20,30,30,200,直达,12306,—,mid,0,,,
R068,邯郸,北京,高铁,G,邯郸东,北京西,145,230,370,密集,20,40,30,235,直达,12306,节前紧张提前10天,high,0,,,
R069,邯郸,太原,高铁,G,邯郸东,太原南,180,230,380,较少,20,30,30,260,多数车次需石家庄换乘；东西向是邯郸的短板,12306,直达车次少要先查,mid,0,,,
R070,邯郸,平遥古城,高铁,G,邯郸东,平遥古城,230,280,450,少,20,20,30,300,需石家庄或太原换乘,12306,—,low,0,,,换乘方案每年调图变化较大
R071,邯郸,济南,高铁,G,邯郸东,济南西,200,260,420,少,20,30,30,280,需石家庄或郑州换乘；东向无直达高铁,12306,—,low,0,,,
R072,邯郸,武汉,高铁,G,邯郸东,汉口或武汉,190,330,540,较多,20,35,30,275,直达,12306,—,mid,0,,,
R073,邯郸,长沙,高铁,G,邯郸东,长沙南,280,480,780,较多,20,35,30,365,直达,12306,—,mid,0,,,
R074,邯郸,西安,高铁,G,邯郸东,西安北,250,330,540,较少,20,40,30,340,多数需郑州东换乘,12306,直达车次不多,mid,0,,,
R075,邯郸,上海,高铁,G,邯郸东,上海虹桥,390,560,900,少,20,40,30,480,需郑州或徐州换乘；东南向无便利直达,12306,建议整段提前订,low,0,,,
R076,邯郸,南京,高铁,G,邯郸东,南京南,330,470,760,少,20,35,30,415,需郑州或徐州换乘,12306,—,low,0,,,
R077,邯郸,林州太行大峡谷,大巴,—,邯郸汽车站,林州,150,50,80,每日数班,20,30,20,220,也可高铁到安阳再换汽车；自驾约2.5小时最方便,汽车站或线上,挂壁公路建议自驾,low,0,,,公共交通不便强烈建议自驾
R078,邯郸,承德避暑山庄,高铁,G,邯郸东,承德,260,380,620,少,20,25,30,335,需北京换乘,12306,—,low,0,,,
R079,邯郸,青岛,高铁,G,邯郸东,青岛,330,420,680,少,20,35,30,415,需济南或徐州换乘,12306,—,low,0,,,
R080,邯郸,成都,飞机,—,郑州新郑或北京,天府或双流,160,700,2200,需先到郑州或北京,90,80,110,440,邯郸机场航线极少；远程目的地基本要到郑州或北京转机,航司官网,把到郑州的1小时高铁算进总时长,mid,0,,,邯郸机场航线少这是硬约束
R081,邯郸,乌鲁木齐,飞机,—,郑州新郑,地窝堡,230,1000,3000,需先到郑州,110,70,110,520,先高铁1小时到郑州东再转机场城际；往返要多算半天,航司官网,进疆行程从邯郸出发建议至少7天,mid,0,,,邯郸机场航线少这是硬约束
R082,邯郸,大同云冈,高铁,G,邯郸东,大同南,240,260,430,少,20,30,30,320,需石家庄或北京换乘,12306,—,low,0,,,
R083,上海,北京,普速,Z/T,上海,北京,780,327,550,每日数班,40,40,30,890,直达,12306,夕发朝至；卧铺省一晚酒店,mid,0,,,夜车：19-20点发次日7-8点到，省一晚住宿
R084,上海,西安,普速,K/Z,上海,西安,960,350,580,每日数班,40,40,30,1070,直达,12306,夜车硬卧比高铁二等座便宜近一半,mid,0,,,夜车但时长16小时，第二天上午到
R085,上海,拉萨,普速,Z,上海,拉萨,2820,850,1400,隔日一班,40,80,30,2970,直达,12306,全程47小时；从西宁开始逐步爬升有助适应海拔,mid,0,,,进藏火车最大价值是逐步适应海拔，高反风险远低于直飞
R086,北京,上海,普速,Z/T,北京,上海,750,327,550,每日数班,40,40,30,860,直达,12306,夕发朝至；卧铺省一晚酒店,mid,0,,,夜车：19-21点发次日7-9点到
R087,北京,西安,普速,Z,北京西,西安,720,280,470,每日数班,40,40,30,830,直达,12306,夕发朝至；比高铁省一晚酒店,mid,0,,,夜车：20点前后发次日8点前后到
R088,北京,拉萨,普速,Z,北京西,拉萨,2460,763,1260,每日一班,40,80,30,2610,直达,12306,全程约41小时；经西宁格尔木逐步升高,mid,0,,,进藏火车逐步适应海拔；车厢供氧
R089,北京,敦煌,普速,Z/K,北京西,敦煌,1740,500,850,隔日一班,40,30,30,1840,部分车次需兰州或柳园换乘,12306,夜车两晚；建议飞或高铁到兰州再转,low,0,,,时长近30小时，实用性一般
R090,北京,呼伦贝尔,普速,K,北京,海拉尔,1860,400,680,每日一班,40,40,30,1970,直达,12306,时长31小时；草原季建议直飞,low,0,,,
R091,南京,北京,普速,Z/T,南京,北京,600,260,450,每日数班,35,40,30,705,直达,12306,夕发朝至；卧铺省一晚酒店,mid,0,,,夜车：20-22点发次日6-8点到
R092,南京,西安,普速,K/Z,南京,西安,780,280,470,每日数班,35,40,30,885,直达,12306,夜车硬卧；上午到西安可直接开始行程,mid,0,,,
R093,邯郸,北京,普速,K/T,邯郸,北京西,330,55,180,每日数班,20,40,30,420,直达,12306,硬座 55 元是最便宜的进京方式；比高铁慢2小时,mid,0,,,三线城市普速车班次比高铁多，价格低一半以上
R094,邯郸,郑州,普速,K,邯郸,郑州,180,30,110,每日数班,20,35,30,265,直达,12306,硬座 30 元；比高铁慢2小时但便宜近4倍,mid,0,,,
R095,邯郸,上海,普速,K,邯郸,上海,810,250,430,每日数班,20,40,30,900,直达,12306,夜车硬卧直达；免去高铁换乘的麻烦,mid,0,,,高铁到上海需换乘且门到门8小时，夜车硬卧反而省事又省酒店
R096,邯郸,西安,普速,K,邯郸,西安,540,160,290,每日数班,20,40,30,630,直达,12306,夜车硬卧直达；高铁需郑州换乘,mid,0,,,夜车直达是普速车对高铁的优势
R097,邯郸,太原,普速,K,邯郸,太原,390,80,190,每日数班,20,30,30,470,直达,12306,普速直达；高铁反而需石家庄换乘,mid,0,,,邯长线普速直达，比高铁换乘更省事
R098,邯郸,长沙,普速,K/Z,邯郸,长沙,720,250,430,每日数班,20,35,30,805,直达,12306,夜车硬卧；省一晚酒店,mid,0,,,
R099,成都,拉萨,普速,Z,成都,拉萨,2580,700,1160,隔日一班,40,80,30,2730,直达,12306,全程43小时；逐步适应海拔,low,0,,,时长极长；多数人选择飞机
R100,西安,拉萨,普速,Z,西安,拉萨,1980,610,1010,每日一班,40,80,30,2130,直达,12306,经西宁格尔木；33小时,low,0,,,
R101,杭州,北京,普速,Z/T,杭州,北京,810,340,570,每日数班,35,40,30,915,直达,12306,夕发朝至,mid,0,,,夜车省一晚酒店
R102,广州,桂林阳朔,普速,K,广州,桂林,660,120,260,每日数班,40,30,30,760,直达,12306,高铁只需3小时；普速车性价比一般,low,0,,,
R103,上海,厦门,高铁,G,上海虹桥,厦门北,335,480,780,较多,40,50,30,455,直达,12306,国庆与暑期紧张,mid,0,,,到厦门北站后进岛还要 50 分钟
R104,上海,厦门,飞机,—,虹桥或浦东,高崎,120,600,1800,密集,75,35,110,340,直达,航司官网,提前 3 周价格较好,mid,0,,,高崎机场离岛内很近，这是飞机相对高铁的优势
R105,北京,厦门,飞机,—,首都或大兴,高崎,185,700,2400,密集,85,35,110,415,直达,航司官网,暑期与国庆价格翻倍,mid,0,,,
R106,北京,厦门,高铁,G,北京南,厦门北,620,800,1300,每日少量,40,50,30,740,直达但超过 10 小时,12306,不如飞机，除非想坐夜车,low,0,,,
R107,杭州,厦门,高铁,G,杭州东,厦门北,270,400,650,较多,35,50,30,385,直达,12306,—,mid,0,,,
R108,南京,厦门,高铁,G,南京南,厦门北,365,520,850,较多,35,50,30,480,直达,12306,—,mid,0,,,
R109,广州,厦门,高铁,G,广州南,厦门北,220,300,490,较多,40,50,30,340,直达,12306,—,mid,0,,,
R110,邯郸,厦门,飞机,—,郑州新郑,高崎,140,700,2200,需先到郑州,110,35,110,395,邯郸机场航线极少；先高铁 1 小时到郑州东再转机场城际,航司官网,往返要多算半天，行程建议至少 5 天,mid,0,,,邯郸机场航线少这是硬约束
R111,邯郸,厦门,高铁,G,邯郸东,厦门北,540,700,1150,少,20,50,30,640,需郑州或武汉换乘,12306,—,low,0,,,
R112,厦门,泉州,高铁,G,厦门北,泉州,35,40,70,密集,50,30,30,145,直达,12306,班次密不需抢,high,0,,,厦门泉州一小时圈，很适合两地连着玩
R113,厦门,武夷山,高铁,G,厦门北,武夷山东,210,260,420,较多,50,30,30,320,直达,12306,秋季与暑期紧张,mid,0,,,
R114,厦门,福州,高铁,G,厦门北,福州,120,150,250,密集,50,35,30,235,直达,12306,—,mid,0,,,
R115,厦门,上海,高铁,G,厦门北,上海虹桥,335,480,780,较多,50,40,30,455,直达,12306,—,mid,0,,,
R116,厦门,广州,高铁,G,厦门北,广州南,220,300,490,较多,50,40,30,340,直达,12306,—,mid,0,,,
R117,北京,长沙,高铁,G,北京西,长沙南,350,560,910,较多,40,30,30,450,直达,12306,—,mid,0,,,
R118,北京,长沙,飞机,—,首都或大兴,黄花,145,600,1900,密集,85,45,110,385,直达,航司官网,—,mid,0,,,
R119,上海,长沙,高铁,G,上海虹桥,长沙南,340,520,850,较多,40,30,30,440,直达,12306,—,mid,0,,,
R120,邯郸,长沙,高铁,G,邯郸东,长沙南,280,480,780,较多,20,30,30,360,直达,12306,—,mid,0,,,
R121,长沙,张家界,高铁,G,长沙南,张家界西,150,180,300,较多,30,40,30,250,直达,12306,张家界西站离核心景区还有 40 分钟,mid,0,,,
R122,长沙,凤凰古城,高铁,G,长沙南,凤凰古城,200,220,360,较多,30,30,30,290,直达,12306,高铁站到古城还要打车 30 分钟,mid,0,,,
R123,长沙,南岳衡山,高铁,G,长沙南,衡山西,60,80,130,密集,30,30,30,150,直达,12306,—,mid,0,,,
R124,长沙,郴州小东江,高铁,G,长沙南,郴州西,100,140,230,较多,30,40,30,200,到郴州西站后需打车约 40 分钟到小东江,12306,晨雾只在 5-8 月，其他季节不值得专程,mid,0,,,
R125,张家界,凤凰古城,大巴,—,张家界汽车站,凤凰,240,80,130,每日数班,30,20,20,310,也可高铁经怀化换乘,汽车站或线上,这一段公共交通不便,low,0,,,
R126,南京,重庆,飞机(估),—,,,254,937,1718,未核实,80,70,110,514,,航司官网,—,low,0,,,按直线距离 1562 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R127,南京,都江堰青城山,飞机(估),—,,,281,1124,2061,未核实,80,70,110,541,,航司官网,—,low,0,,,按直线距离 1874 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R128,南京,街子古镇,飞机(估),—,,,282,1135,2080,未核实,80,70,110,542,,航司官网,—,low,0,,,按直线距离 1891 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R129,南京,犍为嘉阳小火车,飞机(估),—,,,282,1134,2079,未核实,80,70,110,542,,航司官网,—,low,0,,,按直线距离 1890 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R130,南京,韩城党家村,高铁(估),—,,,335,447,783,未核实,40,35,30,440,,12306,—,low,0,,,按直线距离 1118 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R131,南京,莫干山,高铁(估),—,,,76,101,177,未核实,40,35,30,181,,12306,—,low,0,,,按直线距离 254 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R132,南京,良渚古城遗址,高铁(估),—,,,85,113,198,未核实,40,35,30,190,,12306,—,low,0,,,按直线距离 283 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R133,南京,桐庐富春江,高铁(估),—,,,104,138,242,未核实,40,35,30,209,,12306,—,low,0,,,按直线距离 346 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R134,南京,汉中,飞机(估),—,,,244,865,1585,未核实,80,70,110,504,,航司官网,—,low,0,,,按直线距离 1441 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R135,南京,乌镇西栅,高铁(估),—,,,85,113,198,未核实,40,35,30,190,,12306,—,low,0,,,按直线距离 282 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R136,南京,西塘,高铁(估),—,,,91,122,213,未核实,40,35,30,196,,12306,—,low,0,,,按直线距离 304 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R137,南京,千岛湖,高铁(估),—,,,107,142,249,未核实,40,35,30,212,,12306,—,low,0,,,按直线距离 356 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R138,南京,张家界武陵源,高铁(估),—,,,332,443,775,未核实,40,35,30,437,,12306,—,low,0,,,按直线距离 1107 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R139,南京,凤凰古城,飞机(估),—,,,231,777,1425,未核实,80,70,110,491,,航司官网,—,low,0,,,按直线距离 1295 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R140,南京,南岳衡山,高铁(估),—,,,309,412,721,未核实,40,35,30,414,,12306,—,low,0,,,按直线距离 1030 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R141,南京,郴州小东江,高铁(估),—,,,349,465,813,未核实,40,35,30,454,,12306,—,low,0,,,按直线距离 1162 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R142,南京,郴州高椅岭,高铁(估),—,,,344,459,803,未核实,40,35,30,449,,12306,—,low,0,,,按直线距离 1147 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R143,南京,伊犁河谷,飞机(估),—,,,510,2732,5008,未核实,80,70,110,770,,航司官网,—,low,0,,,按直线距离 4553 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R144,南京,喀纳斯禾木,飞机(估),—,,,480,2520,4620,未核实,80,70,110,740,,航司官网,—,low,0,,,按直线距离 4200 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R145,南京,吐鲁番,飞机(估),—,,,439,2230,4088,未核实,80,70,110,699,,航司官网,—,low,0,,,按直线距离 3717 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R146,南京,喀什,飞机(估),—,,,556,3051,5593,未核实,80,70,110,816,,航司官网,—,low,0,,,按直线距离 5085 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R147,南京,独库公路,飞机(估),—,,,480,2521,4622,未核实,80,70,110,740,,航司官网,—,low,0,,,按直线距离 4202 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R148,南京,巴音布鲁克,飞机(估),—,,,483,2541,4658,未核实,80,70,110,743,,航司官网,—,low,0,,,按直线距离 4234 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R149,南京,稻城亚丁,飞机(估),—,,,321,1404,2574,未核实,80,70,110,581,,航司官网,—,low,0,,,按直线距离 2340 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R150,南京,四姑娘山,飞机(估),—,,,288,1177,2158,未核实,80,70,110,548,,航司官网,—,low,0,,,按直线距离 1962 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R151,南京,色达,飞机(估),—,,,313,1354,2483,未核实,80,70,110,573,,航司官网,—,low,0,,,按直线距离 2257 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R152,南京,新都桥,飞机(估),—,,,305,1297,2378,未核实,80,70,110,565,,航司官网,—,low,0,,,按直线距离 2162 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R153,南京,丹巴甲居藏寨,飞机(估),—,,,299,1254,2300,未核实,80,70,110,559,,航司官网,—,low,0,,,按直线距离 2091 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R154,南京,海螺沟,飞机(估),—,,,300,1259,2308,未核实,80,70,110,560,,航司官网,—,low,0,,,按直线距离 2098 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R155,南京,若尔盖花湖,飞机(估),—,,,287,1169,2142,未核实,80,70,110,547,,航司官网,—,low,0,,,按直线距离 1948 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R156,南京,承德避暑山庄,飞机(估),—,,,231,775,1421,未核实,80,70,110,491,,航司官网,—,low,0,,,按直线距离 1292 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R157,南京,北戴河,高铁(估),—,,,337,450,787,未核实,40,35,30,442,,12306,—,low,0,,,按直线距离 1125 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R158,南京,古北水镇司马台,飞机(估),—,,,228,755,1383,未核实,80,70,110,488,,航司官网,—,low,0,,,按直线距离 1258 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R159,南京,邯郸,高铁(估),—,,,250,333,583,未核实,40,35,30,355,,12306,—,low,0,,,按直线距离 833 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R160,南京,安阳殷墟,高铁(估),—,,,239,318,557,未核实,40,35,30,344,,12306,—,low,0,,,按直线距离 796 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R161,南京,林州太行大峡谷,高铁(估),—,,,252,336,588,未核实,40,35,30,357,,12306,—,low,0,,,按直线距离 840 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R162,南京,正定古城,高铁(估),—,,,303,405,708,未核实,40,35,30,408,,12306,—,low,0,,,按直线距离 1012 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R163,南京,平遥古城,高铁(估),—,,,342,456,798,未核实,40,35,30,447,,12306,—,low,0,,,按直线距离 1140 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R164,南京,大同云冈,飞机(估),—,,,233,794,1457,未核实,80,70,110,493,,航司官网,—,low,0,,,按直线距离 1324 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R165,南京,洛阳,高铁(估),—,,,255,340,595,未核实,40,35,30,360,,12306,—,low,0,,,按直线距离 850 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R166,南京,开封,高铁(估),—,,,201,268,469,未核实,40,35,30,306,,12306,—,low,0,,,按直线距离 671 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R167,南京,泰山,高铁(估),—,,,192,255,447,未核实,40,35,30,297,,12306,—,low,0,,,按直线距离 639 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R168,南京,泉州,高铁(估),—,,,312,416,727,未核实,40,35,30,417,,12306,—,low,0,,,按直线距离 1039 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R169,南京,大理,飞机(估),—,,,336,1512,2773,未核实,80,70,110,596,,航司官网,—,low,0,,,按直线距离 2521 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R170,南京,丽江香格里拉,飞机(估),—,,,330,1470,2695,未核实,80,70,110,590,,航司官网,—,low,0,,,按直线距离 2450 公里估算，非实录班次；具体车次与票价请查 12306 或航司
R171,南京,贵州黄果树荔波,飞机(估),—,,,281,1124,2061,未核实,80,70,110,541,,航司官网,—,low,0,,,按直线距离 1874 公里估算，非实录班次；具体车次与票价请查 12306 或航司
